
 % Transformer ID No.3194
 Source Information (Node1 Node2 MVA_f V)
      0      1 1000000.000000 11000.000000 
      1      2       0.00   4.000000 1000000.0 11000.0  415.0 % Transformer
 Conductor Information (From(kk),To(kk),R(kk),X(kk),CurrentRating(kk))
      2      3   0.007500   0.005325      346.0
      3      4   0.003168   0.002304      344.0
      4      5   0.000891   0.000648      344.0
      5      6   0.002300   0.000222      108.0
      6      7   0.008433   0.000814      108.0
      7      8   0.008433   0.000814      108.0
      8      9   0.008433   0.000814      108.0
      5     10   0.001485   0.001080      344.0
     10     11   0.002300   0.000222      108.0
     11     12   0.006900   0.000666      108.0
     12     13   0.006900   0.000666      108.0
     13     14   0.006900   0.000666      108.0
     14     15   0.006900   0.000666      108.0
     10     16   0.000792   0.000576      344.0
     16     17   0.000792   0.000576      344.0
     17     18   0.000792   0.000576      344.0
     18     19   0.000792   0.000576      344.0
     19     20   0.000792   0.000576      344.0
     20     21   0.000792   0.000576      344.0
     21     22   0.000792   0.000576      344.0
      4     23   0.002300   0.000222      108.0
     23     24   0.002195   0.000212      108.0
     24     25   0.002195   0.000212      108.0
     25     26   0.002195   0.000212      108.0
     26     27   0.002195   0.000212      108.0
     27     28   0.002195   0.000212      108.0
     28     29   0.002195   0.000212      108.0
     29     30   0.002195   0.000212      108.0
     30     31   0.002195   0.000212      108.0
     31     32   0.002195   0.000212      108.0
     32     33   0.002195   0.000212      108.0
     33     34   0.002195   0.000212      108.0
      3     35   0.021850   0.002109      108.0
     35     36   0.002108   0.000204      108.0
     36     37   0.002108   0.000204      108.0
     37     38   0.002108   0.000204      108.0
     38     39   0.002108   0.000204      108.0
     39     40   0.002108   0.000204      108.0
     40     41   0.002108   0.000204      108.0
      3     42   0.002300   0.000222      108.0
     42     43   0.002300   0.000222      108.0
     43     44   0.002300   0.000222      108.0
     44     45   0.002300   0.000222      108.0
     45     46   0.002300   0.000222      108.0
     46     47   0.002300   0.000222      108.0
     47     48   0.002300   0.000222      108.0
